StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_BallotBoxStuffing,Informed Consent,NHST Screener ,Age Screener ,Position ,Appointment ,Appointment _4_TEXT,Gender,Gender_5_TEXT,Minority Status,country,HARKing V._4,Optional Stopping V._4,Hide Imputation V._1,Switch Analysis V._1,Selective Cov. V. _1,Exclude Selective V._1,Underreport Res. V._1,Omit non-sig. V._1,Selective Outcome V._1,Round P-value V._1,Hide Problems V._1,Attention Check,Descriptive 1,Injunctive 1,Engaged 1,Use 1,Support 1,Descriptive 2,Injunctive 2,Engaged 2,Use 2,Support 2,Descriptive 3,Injunctive 3,Engaged 3,Use 3,Support 3,Descriptive 4,Injunctive 4,Engaged 4,Use 4 ,Support 4 ,Descriptive 5,Injunctive 5,Engaged 5,Use 5,Support 5,Descriptive 6,Injunctive 6,Engaged 6,Use 6,Support 6 ,Descriptive 7,Injunctive 7,Engaged 7,Use 7 ,Support 7,Descriptive 8,Injunctive 8,Engaged 8,Use 8,Support 8,Descriptive 9,Injunctive 9,Engaged 9,Use 9,Support 9,Descriptive 10,Injunctive 10,Engaged 10,Use 10,Support 10,Descriptive 11,Injunctive 11,Engaged 11,Use 11 ,Support 11,Q99,PPQr_1,PPQr_2,PPQr_3,PPQr_4,PPQr_5,PPQr_6,PPQr_7,PPQr_8,PPQr_9,PPQr_10,PPQr_11,PPQr_12,PPQr_13,PPQr_14,PPQr_15,PPQr_16,PPQr_17,PPQr_18,PPQr_19,Social Desirability_1,Social Desirability_2,Social Desirability_3,Social Desirability_4,Social Desirability_5,Social Desirability_6,Social Desirability_7,Social Desirability_8,Social Desirability_9,Social Desirability_10,Social Desirability_11,Social Desirability_12,Social Desirability_13,Feedback,Q104,HARKing Statement A,Optional Stopping Statement A,Hide Imputation Statement A,Switch Analysis Selectively Statement A,Selectively Include Covariates Statement A,Exclude Data Selectively Statement A,Underreport Results Statement A,Omit non-significant Statement A,Selectively Report Outcomes Statement A,Round P-Values Statement A,Hide Problems Statement A
10/11/24 0:51,10/11/24 0:51,IP Address,109.1.79.154,100,36,TRUE,10/11/24 0:51,R_2hzCOtb3KG7aqAz,,,,,43.3866,4.8266,email,EN,0.8999999761581421,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:49,10/11/24 0:53,IP Address,61.68.133.231,100,234,TRUE,10/11/24 0:53,R_4h3hJngywMg8vUS,,,,,-33.8715,151.2006,email,EN,,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:54,10/11/24 0:54,IP Address,61.68.133.231,100,36,TRUE,10/11/24 0:54,R_4fedSIV8wsFCqH6,,,,,-33.8715,151.2006,email,EN,,TRUE,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:25,10/11/24 0:55,IP Address,141.58.29.14,100,1798,TRUE,10/11/24 0:55,R_2oIsuAatu17g1gB,,,,,48.767,9.1827,email,EN,1,,I agree,Yes,Yes,Mid-career academic/researcher,Business school,,Male,,No,Germany,-5,-4.8,-2.5,2.6,-2.4,4.9,-5,5,5,2.6,-5,Agree,60,Somewhat approve,Yes,50,Often,70,Strongly disapprove,Yes,10,Never,10,Somewhat disapprove,No,,Rarely,50,Somewhat disapprove,Yes,20,Rarely,20,Somewhat disapprove,No,,Rarely,80,Somewhat approve,Yes,10,Rarely,60,Somewhat disapprove,Yes,70,Rarely,50,Somewhat approve,Yes,20,Often,50,Somewhat disapprove,Yes,30,Rarely,50,Somewhat disapprove,Yes,40,Rarely,40,Somewhat approve,Yes,40,Rarely,No,Agree,Totally agree,Disagree,Agree,Agree,Totally disagree,Agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Totally agree,Disagree,Agree,Agree,Disagree,Totally disagree,Agree,Totally disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Simply report the results from your initial analysis,Exclude non-significant covariates from your final paper submission,Leave the analyses as they are,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)","Highlight only the relevant, significant outcomes",Report the p-value without rounding when submitting for publication,Omit mentioning this data quality issue
10/11/24 0:54,10/11/24 0:55,IP Address,80.91.117.137,100,60,TRUE,10/11/24 0:55,R_2LMenrFeSJj2WB3,,,,,41.3253,19.8184,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:55,10/11/24 0:57,IP Address,102.69.220.206,100,69,TRUE,10/11/24 0:57,R_2vRpV6ArFOHXMmB,,,,,8.1,-1.2,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:35,10/11/24 0:57,IP Address,143.89.57.146,100,1325,TRUE,10/11/24 0:57,R_42PKpin5dkm4O8J,,,,,22.3346,114.2536,email,EN,1,,I agree,Yes,Yes,Early-career academic/researcher,Business school,,Male,,No,Hong Kong (S.A.R.),-5,5,5,5,-5,5,5,5,-5,-5,5,Agree,90,Somewhat approve,No,,Never,60,Somewhat approve,Yes,2,Rarely,10,Strongly disapprove,No,,Never,40,Somewhat disapprove,No,,Rarely,40,Somewhat approve,No,,Rarely,40,Somewhat disapprove,No,,Never,70,Somewhat approve,Yes,100,Often,80,Somewhat approve,Yes,20,Often,60,Somewhat disapprove,No,,Never,30,Strongly disapprove,No,,Never,80,Somewhat approve,No,,Never,No,Totally disagree,Totally agree,Disagree,Totally disagree,Totally agree,Totally agree,Totally disagree,Disagree,Totally disagree,Agree,Totally agree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Report your findings without noting the imputation,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)",Report all outcomes regardless of significance,Report the p-value without rounding when submitting for publication,Omit mentioning this data quality issue
10/11/24 0:35,10/11/24 0:58,IP Address,81.229.7.137,100,1341,TRUE,10/11/24 0:58,R_2EEduVhc6kgAbDj,,,,,57.8339,12.2789,email,EN,1,,I agree,Yes,Yes,Senior academic/researcher,Business school,,Male,,No,Sweden,-5,-5,5,-5,-5,-2.5,2.6,5,-5,-5,5,Agree,50,Strongly approve,Yes,50,Almost always,20,Somewhat approve,No,,Often,50,Strongly disapprove,No,,Never,75,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,80,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,75,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,80,Strongly disapprove,No,,Never,Yes,Disagree,Totally disagree,Disagree,Totally disagree,Totally agree,Totally agree,Agree,Totally agree,Agree,Disagree,Disagree,Agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally disagree,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Continue collecting data as preregistered,Report your findings without noting the imputation,Simply report the results from your initial analysis,Report all covariates in the model regardless of significance,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)",Report all outcomes regardless of significance,Report the p-value without rounding when submitting for publication,Omit mentioning this data quality issue
10/11/24 0:31,10/11/24 0:58,IP Address,130.239.155.7,100,1613,TRUE,10/11/24 0:58,R_8qeKVlxKtLyuHRO,,,,,63.8247,20.2559,email,EN,1,,I agree,Yes,Yes,Senior academic/researcher,Psychology department,,Female,,No,Sweden,-5,5,5,-5,-5,-5,5,-5,-5,5,4.4,Agree,95,Somewhat approve,Yes,100,Almost always,20,Strongly disapprove,No,,Rarely,40,Strongly disapprove,No,,Never,30,Somewhat disapprove,No,,Rarely,95,Strongly disapprove,No,,Never,80,Somewhat disapprove,No,,Never,80,Somewhat approve,Yes,85,Often,85,Somewhat disapprove,Yes,20,Rarely,70,Strongly disapprove,No,,Never,90,Somewhat approve,Yes,20,Rarely,30,Strongly approve,No,,Almost always,No,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Totally disagree,Agree,Agree,Totally agree,Totally agree,Agree,Totally disagree,Disagree,Neither agree nor disagree,Totally disagree,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Simply report the results from your initial analysis,Exclude non-significant covariates from your final paper submission,Rerun the analyses and report those results if they are significant,"Report all results, regardless of relevance to the story you want to tell in the publication","Report all studies you ran, regardless of consistency with the theory","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Omit mentioning this data quality issue
10/11/24 0:49,10/11/24 1:00,IP Address,92.88.170.5,100,666,TRUE,10/11/24 1:00,R_89NS49bgZGincoF,,,,,43.6046,1.4451,email,EN,1,,I agree,Yes,Yes,Early-career academic/researcher,Psychology department,,Male,,No,France,-5,-5,5,5,-5,-5,-2.3,-5,2.6,5,-5,Agree,80,Somewhat approve,No,,Never,50,Strongly disapprove,No,,Never,40,Strongly disapprove,No,,Never,60,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,60,Somewhat approve,No,,Never,100,Somewhat approve,Yes,60,Rarely,50,Somewhat disapprove,No,,Never,70,Somewhat disapprove,No,,Never,10,Strongly disapprove,No,,Never,60,Strongly disapprove,No,,Never,No,Totally disagree,Totally disagree,Agree,Disagree,Agree,Totally agree,Totally agree,Agree,Totally agree,Disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally disagree,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Continue collecting data as preregistered,Report your findings without noting the imputation,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report all studies you ran, regardless of consistency with the theory",Report all outcomes regardless of significance,Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/11/24 0:19,10/11/24 1:00,IP Address,41.218.204.43,100,2481,TRUE,10/11/24 1:00,R_2EQND8FTg5YxXZr,,,,,5.5486,-0.2012,email,EN,1,,I agree,Yes,Yes,Senior academic/researcher,Business school,,Female,,No,Ghana,-5,5,-5,-5,-5,5,5,-5,3.4,-5,-5,Agree,30,Strongly disapprove,No,,Never,50,Strongly approve,Yes,20,Rarely,10,Strongly disapprove,No,,Never,50,Somewhat approve,No,,Rarely,20,Strongly disapprove,No,,Never,30,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,50,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Never,50,Somewhat approve,Yes,30,Rarely,20,Strongly disapprove,No,,Never,No,Agree,Agree,Totally disagree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Totally disagree,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Leave the analyses as they are,Report only those results that are relevant to the story you want to tell in the publication,"Report all studies you ran, regardless of consistency with the theory","Highlight only the relevant, significant outcomes",Report the p-value without rounding when submitting for publication,Mention the data quality issue
10/11/24 1:00,10/11/24 1:01,IP Address,89.22.199.64,100,91,TRUE,10/11/24 1:01,R_8AjIE99Zr8fx1GV,,,,,52.2462,-2.1778,email,EN,0.8999999761581421,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:52,10/11/24 1:03,IP Address,109.1.79.154,100,685,TRUE,10/11/24 1:03,R_8rBgGhzcUmmvTDc,,,,,43.3866,4.8266,email,EN,1,TRUE,I agree,Yes,Yes,Mid-career academic/researcher,Business school,,Prefer not to say,,No,,,,-5,-5,-5,,-5,5,,5,-5,Agree,20,Strongly disapprove,No,,Never,20,Strongly disapprove,No,,Never,20,Strongly disapprove,No,,Never,20,Somewhat approve,Yes,0,Rarely,15,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Rarely,20,Strongly disapprove,No,,Never,0,Strongly disapprove,No,,Never,20,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Never,No,Disagree,Totally agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Totally disagree,,,,,,,,,,,,,,,End survey,Rewrite your introduction to suggest that this effect was hypothesized originally to improve the paper’s publishability,Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Exclude non-significant covariates from your final paper submission,Leave the analyses as they are,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/11/24 1:04,10/11/24 1:05,IP Address,86.190.155.113,100,69,TRUE,10/11/24 1:05,R_2HCdTLG2Hrysmp4,,,,,51.4032,-0.9207,email,EN,1,,I disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:04,10/11/24 1:05,IP Address,93.224.47.101,100,17,TRUE,10/11/24 1:05,R_8s18MgkBkitu97k,,,,,51.3992,6.8816,email,EN,0.8999999761581421,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:05,10/11/24 1:06,IP Address,85.203.230.210,100,33,TRUE,10/11/24 1:06,R_8GgNfa5MqLnEZjP,,,,,56.1567,10.2153,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 0:44,10/11/24 1:07,IP Address,86.172.234.61,100,1354,TRUE,10/11/24 1:07,R_2c6PM38W7C9ZIho,,,,,54.8334,-1.6268,email,EN,1,,I agree,Yes,Yes,Senior academic/researcher,Other (please describe),,Female,,No,United Kingdom of Great Britain and Northern Ireland,-5,-5,-5,5,-5,-5,-5,5,5,5,-5,Agree,5,Strongly disapprove,No,,Never,30,Somewhat disapprove,No,,Rarely,40,Somewhat disapprove,No,,Never,5,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Never,30,Strongly disapprove,No,,Never,30,Somewhat disapprove,No,,Rarely,40,Somewhat disapprove,No,,Never,10,Strongly disapprove,No,,Never,30,Strongly disapprove,No,,Never,10,Strongly disapprove,No,,Never,No,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Totally agree,Disagree,Disagree,Agree,Totally agree,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Continue collecting data as preregistered,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Leave the analyses as they are,"Report all results, regardless of relevance to the story you want to tell in the publication","Report only those studies that 'worked' (i.e., consistent with the motivation theory)","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/11/24 1:05,10/11/24 1:08,IP Address,106.208.120.249,100,162,TRUE,10/11/24 1:08,R_471NhHn6U56CoUh,,,,,12.8996,80.2209,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:05,10/11/24 1:15,IP Address,130.206.158.173,100,644,TRUE,10/11/24 1:15,R_8uKE7S4s1t8PYcu,,,,,42.8198,-1.6374,email,EN,0.8999999761581421,,I agree,Yes,Yes,Senior academic/researcher,Business school,,Male,,No,Spain,-5,,-2.4,,4.3,,,3.5,3.3,2.3,,Agree,20,Somewhat approve,Yes,20,Rarely,10,Somewhat approve,No,,Rarely,20,Somewhat disapprove,No,,Never,50,Somewhat approve,Yes,,Often,20,Somewhat disapprove,No,,Rarely,20,Somewhat disapprove,No,,Rarely,20,Somewhat disapprove,No,,Never,20,Strongly disapprove,No,,Never,,Somewhat approve,No,,Rarely,80,Strongly approve,Yes,,Often,,Somewhat disapprove,No,,Rarely,Yes,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Totally disagree,Disagree,Disagree,Agree,Agree,Totally agree,Disagree,Totally disagree,Totally agree,Totally disagree,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Exclude non-significant covariates from your final paper submission,Leave the analyses as they are,Report only those results that are relevant to the story you want to tell in the publication,"Report all studies you ran, regardless of consistency with the theory",Report all outcomes regardless of significance,Round down the p-value to meet the significance threshold when submitting for publication,Omit mentioning this data quality issue
10/11/24 0:47,10/11/24 1:16,IP Address,124.127.73.222,100,1743,TRUE,10/11/24 1:16,R_3JlChvseQxgnoRP,,,,,39.911,116.395,email,EN,,,I agree,Yes,Yes,Graduate student,Business school,,Female,,No,China,5,2.6,2.5,-2.5,-2.6,-2.5,-2.6,-2.5,-2.5,5,2.7,Agree,80,Somewhat approve,Yes,80,Almost always,90,Somewhat approve,No,,Often,50,Somewhat disapprove,No,,Rarely,90,Somewhat approve,Yes,90,Almost always,20,Strongly disapprove,No,,Rarely,60,Somewhat disapprove,No,,Often,80,Somewhat approve,Yes,80,Almost always,70,Somewhat approve,No,,Often,70,Somewhat approve,No,,Often,20,Strongly disapprove,No,,Rarely,70,Somewhat disapprove,No,,Rarely,No,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Totally agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Totally disagree,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,End and do not record my data,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/11/24 1:16,10/11/24 1:17,IP Address,92.180.9.78,100,23,TRUE,10/11/24 1:17,R_8ffwC0sMS5EtVc8,,,,,46.7657,23.5943,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:21,10/11/24 1:21,IP Address,188.141.36.124,100,23,TRUE,10/11/24 1:21,R_8q1xcbDEE7c3sve,,,,,53.3379,-6.2591,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:21,10/11/24 1:22,IP Address,188.141.36.124,100,19,TRUE,10/11/24 1:22,R_2snaV0fuAd5rkXv,,,,,53.3379,-6.2591,email,EN,1,TRUE,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:22,10/11/24 1:22,IP Address,158.36.169.154,100,24,TRUE,10/11/24 1:22,R_8qGuRJtpPta0QTL,,,,,58.1428,7.9887,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:23,10/11/24 1:23,IP Address,193.140.239.248,100,28,TRUE,10/11/24 1:23,R_47eSgW8Qgnj3dsN,,,,,39.932,32.8722,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 1:03,10/11/24 1:26,IP Address,46.135.90.117,100,1384,TRUE,10/11/24 1:26,R_8dmOjFRW84wrJBb,,,,,50.0853,14.411,email,EN,1,,I agree,Yes,Yes,Mid-career academic/researcher,Business school,,Male,,No,Czech Republic,-5,5,5,-3.1,5,1.2,5,-3.8,5,5,-5,Agree,80,Somewhat disapprove,No,,Rarely,30,Strongly disapprove,No,,Never,30,Strongly disapprove,No,,Never,90,Somewhat approve,Yes,50,Often,90,Somewhat approve,No,,Often,90,Strongly disapprove,No,,Rarely,90,Somewhat disapprove,Yes,20,Rarely,90,Somewhat approve,No,,Never,90,Somewhat disapprove,No,,Never,50,Somewhat disapprove,No,,Rarely,60,Strongly disapprove,No,,Never,No,Agree,Agree,Totally agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Neither agree nor disagree,Agree,Totally disagree,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Report your findings without noting the imputation,Simply report the results from your initial analysis,Exclude non-significant covariates from your final paper submission,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report all studies you ran, regardless of consistency with the theory","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/11/24 0:55,10/11/24 1:26,IP Address,49.48.106.178,100,1882,TRUE,10/11/24 1:26,R_4botWJdNYhfAgcV,,,,,16.2912,102.6162,email,EN,1,,I agree,Yes,Yes,Early-career academic/researcher,Not an academic,,Female,,No,Thailand,-5,0,-2.5,-4.6,-4.9,-4.7,0,-4.6,-0.1,2.6,2.6,Agree,50,Somewhat disapprove,No,,Often,50,Somewhat disapprove,No,,Often,50,Somewhat approve,No,,Rarely,50,Somewhat approve,Yes,20,Often,50,Somewhat disapprove,No,,Rarely,50,Somewhat disapprove,No,,Rarely,50,Somewhat approve,No,,Often,50,Somewhat disapprove,No,,Often,10,Somewhat disapprove,No,,Never,50,Somewhat approve,No,,Often,50,Somewhat disapprove,No,,Rarely,Yes,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Totally agree,Totally agree,Agree,Agree,Totally agree,Totally disagree,Agree,Totally disagree,Totally disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Totally disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,End and do not record my data,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Continue collecting data as preregistered,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Leave the analyses as they are,"Report all results, regardless of relevance to the story you want to tell in the publication","Report all studies you ran, regardless of consistency with the theory",Report all outcomes regardless of significance,Round down the p-value to meet the significance threshold when submitting for publication,Omit mentioning this data quality issue
